"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2022","3,454.83","3,451.18","3,529.92","3,440.38","493.62K","-0.04%"
"Apr 01, 2022","3,456.35","3,285.33","3,478.28","3,215.87","532.22K","5.30%"
"Mar 31, 2022","3,282.39","3,381.92","3,444.56","3,263.29","455.13K","-3.05%"
"Mar 30, 2022","3,385.69","3,400.05","3,445.93","3,333.46","356.07K","-0.48%"
"Mar 29, 2022","3,402.07","3,331.10","3,481.35","3,331.10","465.95K","2.19%"
"Mar 28, 2022","3,329.20","3,292.51","3,428.36","3,275.09","527.18K","1.02%"
"Mar 27, 2022","3,295.65","3,144.50","3,297.48","3,126.39","335.47K","4.75%"
"Mar 26, 2022","3,146.08","3,102.44","3,150.05","3,085.70","207.13K","1.37%"
"Mar 25, 2022","3,103.46","3,108.59","3,192.73","3,081.99","489.65K","-0.23%"
"Mar 24, 2022","3,110.75","3,036.40","3,126.35","3,006.27","577.17K","2.46%"
"Mar 23, 2022","3,036.14","2,967.76","3,042.35","2,926.33","453.91K","2.24%"
"Mar 22, 2022","2,969.68","2,889.29","3,048.28","2,887.66","564.88K","2.69%"
"Mar 21, 2022","2,891.76","2,863.45","2,960.42","2,830.00","450.16K","1.05%"
"Mar 20, 2022","2,861.79","2,950.91","2,962.04","2,819.29","377.64K","-2.98%"
"Mar 19, 2022","2,949.67","2,940.68","2,984.00","2,895.22","325.74K","0.34%"
"Mar 18, 2022","2,939.76","2,813.44","2,983.11","2,768.65","1.59B","4.53%"
"Mar 17, 2022","2,812.29","2,773.80","2,832.61","2,747.06","1.06B","1.38%"
"Mar 16, 2022","2,773.94","2,618.03","2,787.12","2,603.80","1.79B","5.98%"
"Mar 15, 2022","2,617.43","2,589.54","2,667.61","2,510.75","1.19B","1.09%"
"Mar 14, 2022","2,589.30","2,515.08","2,608.68","2,500.12","991.76M","2.88%"
"Mar 13, 2022","2,516.75","2,567.87","2,600.65","2,494.59","811.51M","-2.06%"
"Mar 12, 2022","2,569.80","2,555.85","2,612.33","2,555.85","567.22M","0.50%"
"Mar 11, 2022","2,556.96","2,606.74","2,670.05","2,525.20","1.28B","-1.90%"
"Mar 10, 2022","2,606.50","2,727.33","2,731.37","2,559.90","1.46B","-4.42%"
"Mar 09, 2022","2,726.94","2,576.52","2,772.09","2,569.13","1.52B","5.81%"
"Mar 08, 2022","2,577.21","2,495.25","2,623.99","2,483.29","1.44B","3.40%"
"Mar 07, 2022","2,492.53","2,550.36","2,645.41","2,447.74","1.58B","-2.23%"
"Mar 06, 2022","2,549.40","2,665.15","2,673.19","2,542.19","881.04M","-4.35%"
"Mar 05, 2022","2,665.42","2,619.90","2,684.50","2,592.07","709.83M","1.65%"
"Mar 04, 2022","2,622.15","2,831.86","2,835.89","2,575.66","1.50B","-7.50%"
"Mar 03, 2022","2,834.85","2,947.52","2,967.27","2,789.82","446.18K","-3.80%"
"Mar 02, 2022","2,946.73","2,974.70","3,041.47","2,914.56","614.66K","-0.97%"
"Mar 01, 2022","2,975.66","2,921.68","3,036.54","2,858.40","673.93K","1.82%"
"Feb 28, 2022","2,922.35","2,615.01","2,949.39","2,573.85","733.69K","11.70%"
"Feb 27, 2022","2,616.15","2,779.56","2,834.24","2,563.00","650.22K","-5.77%"
"Feb 26, 2022","2,776.37","2,768.64","2,856.11","2,734.80","418.49K","0.33%"
"Feb 25, 2022","2,767.33","2,599.00","2,829.99","2,573.23","679.41K","6.59%"
"Feb 24, 2022","2,596.16","2,578.87","2,734.17","2,302.82","1.40M","0.70%"
"Feb 23, 2022","2,578.09","2,641.33","2,749.47","2,578.09","504.19K","-2.24%"
"Feb 22, 2022","2,637.25","2,569.18","2,662.71","2,501.02","692.64K","2.60%"
"Feb 21, 2022","2,570.49","2,621.87","2,755.44","2,559.61","761.63K","-1.84%"
"Feb 20, 2022","2,618.76","2,764.39","2,764.39","2,577.69","386.43K","-5.25%"
"Feb 19, 2022","2,763.76","2,776.84","2,829.00","2,700.13","293.74K","-0.57%"
"Feb 18, 2022","2,779.49","2,891.89","2,942.95","2,754.12","503.02K","-3.96%"
"Feb 17, 2022","2,893.95","3,125.09","3,159.99","2,855.83","488.73K","-7.31%"
"Feb 16, 2022","3,122.02","3,184.08","3,184.77","3,045.72","320.00K","-1.88%"
"Feb 15, 2022","3,181.93","2,934.14","3,193.04","2,912.49","448.94K","8.64%"
"Feb 14, 2022","2,928.97","2,877.92","2,963.96","2,834.38","381.79K","2.02%"
"Feb 13, 2022","2,871.02","2,915.72","2,952.96","2,838.25","242.75K","-1.57%"
"Feb 12, 2022","2,916.88","2,927.54","2,984.90","2,858.57","336.19K","-0.36%"
"Feb 11, 2022","2,927.53","3,072.47","3,136.72","2,880.09","462.06K","-4.69%"
"Feb 10, 2022","3,071.51","3,243.47","3,276.46","3,058.05","578.28K","-5.30%"
"Feb 09, 2022","3,243.32","3,118.96","3,266.33","3,056.08","370.17K","4.09%"
"Feb 08, 2022","3,115.80","3,145.15","3,228.28","3,030.10","514.78K","-0.76%"
"Feb 07, 2022","3,139.68","3,055.69","3,185.57","2,995.81","455.07K","2.72%"
"Feb 06, 2022","3,056.40","3,016.80","3,073.18","2,957.03","249.44K","1.42%"
"Feb 05, 2022","3,013.48","2,990.00","3,058.84","2,962.77","356.93K","0.62%"
"Feb 04, 2022","2,994.99","2,695.99","2,994.99","2,671.48","664.12K","11.22%"
"Feb 03, 2022","2,692.97","2,678.91","2,724.13","2,579.77","404.78K","0.46%"
"Feb 02, 2022","2,680.68","2,790.14","2,809.39","2,618.96","447.78K","-3.81%"
"Feb 01, 2022","2,786.91","2,686.99","2,807.54","2,676.56","390.04K","3.73%"
"Jan 31, 2022","2,686.66","2,603.33","2,704.51","2,478.70","444.43K","3.23%"
"Jan 30, 2022","2,602.60","2,600.91","2,635.79","2,543.85","290.81K","0.09%"
"Jan 29, 2022","2,600.33","2,544.15","2,632.15","2,520.02","376.60K","2.13%"
"Jan 28, 2022","2,545.99","2,424.71","2,556.10","2,362.78","485.15K","5.00%"
"Jan 27, 2022","2,424.67","2,462.31","2,515.04","2,317.01","599.47K","-1.49%"
"Jan 26, 2022","2,461.30","2,458.70","2,719.55","2,405.68","806.50K","0.12%"
"Jan 25, 2022","2,458.27","2,441.11","2,504.39","2,352.56","510.13K","0.72%"
"Jan 24, 2022","2,440.81","2,538.36","2,538.36","2,161.68","1.12M","-3.92%"
"Jan 23, 2022","2,540.45","2,412.75","2,547.01","2,373.75","580.48K","5.30%"
"Jan 22, 2022","2,412.48","2,562.66","2,621.41","2,314.30","1.08M","-6.17%"
"Jan 21, 2022","2,571.12","3,000.15","3,032.34","2,473.50","1.02M","-14.42%"
"Jan 20, 2022","3,004.19","3,088.04","3,270.58","2,989.72","357.36K","-2.59%"
"Jan 19, 2022","3,084.20","3,165.57","3,173.14","3,049.30","332.96K","-2.40%"
"Jan 18, 2022","3,159.96","3,212.42","3,242.13","3,084.78","299.19K","-1.54%"
"Jan 17, 2022","3,209.25","3,348.40","3,356.40","3,142.02","284.01K","-4.10%"
"Jan 16, 2022","3,346.47","3,326.25","3,387.99","3,276.74","210.78K","0.55%"
"Jan 15, 2022","3,328.08","3,310.73","3,369.45","3,265.36","203.07K","0.61%"
"Jan 14, 2022","3,307.74","3,242.82","3,340.98","3,196.46","285.40K","2.01%"
"Jan 13, 2022","3,242.44","3,368.76","3,407.33","3,234.85","336.22K","-3.80%"
"Jan 12, 2022","3,370.48","3,239.73","3,406.50","3,208.47","370.47K","4.09%"
"Jan 11, 2022","3,237.93","3,083.14","3,263.07","3,053.61","362.47K","4.94%"
"Jan 10, 2022","3,085.46","3,146.03","3,179.99","2,932.51","529.76K","-2.06%"
"Jan 09, 2022","3,150.42","3,080.01","3,210.49","3,060.36","275.88K","2.30%"
"Jan 08, 2022","3,079.66","3,198.50","3,246.40","3,001.63","400.68K","-3.62%"
"Jan 07, 2022","3,195.35","3,412.43","3,412.66","3,080.30","669.76K","-6.22%"
"Jan 06, 2022","3,407.21","3,533.73","3,550.42","3,306.91","497.14K","-3.62%"
"Jan 05, 2022","3,535.07","3,784.10","3,846.31","3,419.20","397.44K","-6.75%"
"Jan 04, 2022","3,790.83","3,772.46","3,888.86","3,714.78","288.10K","0.70%"
"Jan 03, 2022","3,764.48","3,828.20","3,849.03","3,682.57","236.28K","-1.74%"
"Jan 02, 2022","3,831.24","3,765.75","3,850.00","3,718.31","154.75K","1.75%"
"Jan 01, 2022","3,765.36","3,679.41","3,774.77","3,675.68","154.15K","2.38%"
