"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2022","0.04980","0.04870","0.05310","0.04840","5.73M","2.26%"
"Mar 30, 2022","0.04870","0.04700","0.05480","0.04700","7.09M","3.62%"
"Mar 29, 2022","0.04700","0.04440","0.04800","0.04300","4.14M","5.86%"
"Mar 28, 2022","0.04440","0.04330","0.04580","0.04280","3.54M","2.54%"
"Mar 27, 2022","0.04330","0.04270","0.04380","0.04220","2.40M","1.64%"
"Mar 26, 2022","0.04260","0.04240","0.04360","0.04180","2.55M","0.47%"
"Mar 25, 2022","0.04240","0.04110","0.04740","0.04050","5.38M","3.16%"
"Mar 24, 2022","0.04110","0.04060","0.04120","0.03990","2.38M","1.23%"
"Mar 23, 2022","0.04060","0.04050","0.04170","0.03980","2.00M","0.25%"
"Mar 22, 2022","0.04050","0.03870","0.04170","0.03860","3.53M","4.65%"
"Mar 21, 2022","0.03870","0.04040","0.04080","0.03870","3.79M","-4.21%"
"Mar 20, 2022","0.04040","0.04130","0.04140","0.03990","2.34M","-2.18%"
"Mar 19, 2022","0.04130","0.04130","0.04210","0.04060","2.60M","0.00%"
"Mar 18, 2022","0.04130","0.04060","0.04170","0.03970","3.60M","1.72%"
"Mar 17, 2022","0.04060","0.04130","0.04240","0.04020","4.20M","-1.46%"
"Mar 16, 2022","0.04120","0.04470","0.04520","0.03960","10.86M","-7.83%"
"Mar 15, 2022","0.04470","0.04020","0.04980","0.03790","23.47M","11.19%"
"Mar 14, 2022","0.04020","0.04140","0.04450","0.03890","13.97M","-2.66%"
"Mar 13, 2022","0.04130","0.04760","0.04960","0.04050","25.42M","-13.05%"
"Mar 12, 2022","0.04750","0.04310","0.06890","0.04280","72.52M","10.21%"
"Mar 11, 2022","0.04310","0.03660","0.05210","0.03450","20.40M","17.76%"
"Mar 10, 2022","0.03660","0.03900","0.03910","0.03520","6.53M","-6.15%"
"Mar 09, 2022","0.03900","0.03830","0.04110","0.03780","7.19M","1.83%"
"Mar 08, 2022","0.03830","0.04040","0.04100","0.03820","7.74M","-4.96%"
"Mar 07, 2022","0.04030","0.04480","0.04540","0.04020","5.90M","-10.04%"
