Date,Price,Open,High,Low,Vol.,Change %
22-Sep-19,0.9999,0.9999,1,0.9999,127.97K,0.00%
23-Sep-19,1,0.9999,1,0.9999,1.24M,0.01%
24-Sep-19,0.9997,1,1.05,0.9902,3.39M,-0.03%
25-Sep-19,0.9997,0.9997,1.001,0.9942,625.27K,0.00%
26-Sep-19,0.9999,0.9997,1.002,0.9997,702.10K,0.02%
27-Sep-19,0.9992,0.9999,1.001,0.9991,240.88K,-0.07%
28-Sep-19,0.999,0.9992,1,0.998,145.95K,-0.02%
29-Sep-19,0.9982,0.999,1,0.9982,104.91K,-0.08%
30-Sep-19,1,0.9982,1,0.9976,346.27K,0.18%
1-Oct-19,0.9994,1,1,0.9972,176.44K,-0.06%
2-Oct-19,0.9994,0.9994,0.9999,0.9973,288.58K,0.00%
3-Oct-19,0.9989,0.9994,0.9999,0.9972,252.45K,-0.05%
4-Oct-19,0.9982,0.9989,0.9999,0.9981,49.80K,-0.07%
5-Oct-19,0.9982,0.9982,0.9999,0.998,50.08K,0.00%
6-Oct-19,0.9989,0.9982,1,0.9977,137.31K,0.07%
7-Oct-19,0.9983,0.9989,1,0.9976,284.34K,-0.06%
8-Oct-19,0.9992,0.9983,1.001,0.998,432.49K,0.09%
9-Oct-19,0.9989,0.9992,1.001,0.9978,2.69M,-0.03%
10-Oct-19,0.997,0.9989,0.9998,0.9965,148.43K,-0.19%
11-Oct-19,0.9991,0.997,1,0.997,1.06M,0.21%
12-Oct-19,0.9992,0.9991,1,0.998,1.52M,0.01%
13-Oct-19,0.9996,0.9992,0.9999,0.9984,1.92M,0.04%
14-Oct-19,0.9994,0.9996,0.9999,0.9985,2.18M,-0.02%
15-Oct-19,1,0.9994,1.001,0.9992,3.03M,0.06%
16-Oct-19,1,1,1.001,0.9997,8.18M,0.00%
17-Oct-19,0.9995,1,1,0.9994,9.33M,-0.05%
18-Oct-19,0.9997,0.9995,1,0.9995,9.48M,0.02%
19-Oct-19,0.9997,0.9997,1,0.9991,10.73M,0.00%
20-Oct-19,0.9989,0.9997,1,0.9986,8.81M,-0.08%
21-Oct-19,0.9983,0.9989,0.9995,0.998,1.99M,-0.06%
22-Oct-19,0.9993,0.9983,0.9997,0.9982,2.08M,0.10%
23-Oct-19,0.9998,0.9993,1.001,0.999,4.02M,0.05%
24-Oct-19,0.9986,0.9998,1,0.9985,2.84M,-0.12%
25-Oct-19,0.9986,0.9986,1,0.9974,6.28M,0.00%
26-Oct-19,0.9989,0.9986,1,0.9912,11.65M,0.03%
27-Oct-19,0.9977,0.9989,0.9991,0.9967,6.70M,-0.12%
28-Oct-19,0.9979,0.9977,0.9988,0.9966,5.74M,0.02%
29-Oct-19,0.9985,0.9979,0.9997,0.9976,7.09M,0.06%
30-Oct-19,0.9993,0.9985,1,0.998,5.75M,0.08%
31-Oct-19,0.9992,0.9993,0.9995,0.9985,5.31M,-0.01%
1-Nov-19,0.9993,0.9992,1,0.9985,5.47M,0.01%
2-Nov-19,0.9987,0.9993,0.9995,0.9981,3.18M,-0.06%
3-Nov-19,0.9996,0.9987,0.9998,0.9985,3.33M,0.09%
4-Nov-19,0.9986,0.9996,1,0.9982,7.89M,-0.10%
5-Nov-19,0.9991,0.9986,1,0.9978,8.61M,0.05%
6-Nov-19,1,0.9991,1.001,0.9989,6.50M,0.09%
7-Nov-19,1.001,1,1.003,0.9999,5.24M,0.10%
8-Nov-19,1.001,1.001,1.008,1,4.26M,0.00%
9-Nov-19,1.001,1.001,1.002,1,2.82M,0.00%
10-Nov-19,1,1.001,1.001,0.9995,2.37M,-0.10%
11-Nov-19,1.002,1,1.002,0.9998,3.35M,0.20%
12-Nov-19,1.002,1.002,1.005,1.001,4.21M,0.00%
13-Nov-19,1.002,1.002,1.003,1.001,2.71M,0.00%
14-Nov-19,1.002,1.002,1.004,1.002,2.65M,0.00%
15-Nov-19,1.002,1.002,1.004,1.001,2.65M,0.00%
16-Nov-19,1.001,1.002,1.002,1.001,1.34M,-0.10%
17-Nov-19,1,1.001,1.002,1,2.08M,-0.10%
18-Nov-19,1.002,1,1.004,1,3.35M,0.20%
19-Nov-19,1.002,1.002,1.003,1.001,2.46M,0.00%
20-Nov-19,1.002,1.002,1.003,1.001,1.82M,0.00%
21-Nov-19,1.002,1.002,1.004,1,3.44M,0.00%
22-Nov-19,0.9987,1.002,1.004,0.9986,5.73M,-0.33%
23-Nov-19,0.9992,0.9987,0.9999,0.9985,3.85M,0.05%
24-Nov-19,0.9993,0.9992,1,0.9988,6.64M,0.01%
25-Nov-19,0.999,0.9993,1.005,0.999,3.87M,-0.03%
26-Nov-19,0.9997,0.999,1.001,0.9989,2.47M,0.07%
27-Nov-19,0.9993,0.9997,1.001,0.9991,3.83M,-0.04%
28-Nov-19,0.9994,0.9993,1,0.9988,3.81M,0.01%
29-Nov-19,0.9993,0.9994,1,0.999,4.62M,-0.01%
30-Nov-19,0.9994,0.9993,0.9999,0.9991,2.21M,0.01%
1-Dec-19,0.9992,0.9994,1,0.9991,4.44M,-0.02%
