Date,Price,Open,High,Low,Vol.,Change %
16-Jan-18,0.9429,0.963,0.9899,0.9335,16.99K,-2.09%
17-Jan-18,0.9756,0.9429,0.9757,0.64,80.60K,3.47%
18-Jan-18,0.979,0.9756,1.001,0.8719,44.01K,0.35%
19-Jan-18,0.9798,0.979,0.9798,0.9005,21.81K,0.08%
20-Jan-18,0.983,0.9798,1.002,0.9517,57.05K,0.33%
21-Jan-18,0.964,0.9847,0.9847,0.9484,12.60K,-1.93%
22-Jan-18,0.97,0.964,0.9871,0.9129,8.25K,0.62%
23-Jan-18,0.9625,0.97,0.9959,0.94,6.48K,-0.77%
24-Jan-18,0.9976,0.9625,1.01,0.961,66.29K,3.65%
25-Jan-18,0.9897,0.9976,1.01,0.973,8.42K,-0.79%
26-Jan-18,1,0.9897,1,0.97,12.66K,1.04%
27-Jan-18,1.002,1,1.002,0.96,33.53K,0.20%
28-Jan-18,1.032,1.002,1.032,0.9852,36.07K,2.99%
29-Jan-18,0.99,1.032,1.0589,0.98,10.14K,-4.07%
30-Jan-18,1.0074,0.99,1.06,0.9864,5.88K,1.76%
31-Jan-18,1.0136,1.0074,2.2899,0.999,192.04K,0.62%
1-Feb-18,0.995,1.0136,1.0641,0.98,101.54K,-1.84%
2-Feb-18,1.02,0.995,1.319,0.99,358.21K,2.51%
3-Feb-18,1,1.02,1.0846,0.9976,142.53K,-1.96%
4-Feb-18,0.9975,1,1.0313,0.9975,61.55K,-0.25%
5-Feb-18,1.019,0.9975,1.0205,0.9801,54.33K,2.16%
6-Feb-18,1.0208,1.0189,1.24,0.9865,314.77K,0.18%
7-Feb-18,0.9976,1.0208,1.0452,0.9976,214.79K,-2.27%
8-Feb-18,1.0032,0.9976,1.0213,0.9976,36.82K,0.56%
9-Feb-18,0.9987,1.0032,1.022,0.9954,53.98K,-0.45%
10-Feb-18,1.0137,0.9987,1.0156,0.995,123.25K,1.50%
11-Feb-18,1.001,1.0137,1.015,1,36.69K,-1.25%
12-Feb-18,1.005,1.001,1.005,1,20.60K,0.40%
13-Feb-18,1.008,1.005,1.0081,0.9961,7.37K,0.30%
14-Feb-18,0.995,1.008,1.008,0.995,13.63K,-1.29%
15-Feb-18,1.002,0.995,1.003,0.994,12.18K,0.70%
16-Feb-18,0.994,1.002,1.0046,0.9935,40.46K,-0.80%
17-Feb-18,0.9989,0.994,1.0016,0.9921,11.37K,0.49%
18-Feb-18,0.991,0.9989,1.0009,0.991,29.93K,-0.79%
19-Feb-18,0.994,0.991,1.0015,0.991,1.87K,0.30%
20-Feb-18,1.0011,0.994,1.011,0.994,17.64K,0.71%
21-Feb-18,1,1.0011,1.0077,0.9971,6.22K,-0.11%
22-Feb-18,0.9969,1,1.003,0.993,61.66K,-0.31%
23-Feb-18,1.0046,0.9969,1.0046,0.993,3.53K,0.77%
24-Feb-18,0.993,1.0046,1.0046,0.993,19.20K,-1.15%
25-Feb-18,0.9922,0.993,0.9999,0.9922,0.24K,-0.08%
26-Feb-18,0.9931,0.9922,0.9998,0.9922,7.11K,0.09%
27-Feb-18,0.995,0.9931,1.001,0.9931,10.45K,0.19%
28-Feb-18,0.9949,0.995,1.0012,0.9935,14.21K,-0.01%
1-Mar-18,0.9944,0.9949,0.9999,0.9944,6.13K,-0.05%
2-Mar-18,0.9967,0.9944,0.9998,0.9944,3.38K,0.23%
3-Mar-18,1,0.9967,1,0.9949,4.70K,0.33%
4-Mar-18,0.998,1,1,0.995,2.61K,-0.20%
5-Mar-18,1.0016,0.998,1.0016,0.9945,11.75K,0.36%
6-Mar-18,0.9935,1.0016,1.002,0.9935,16.54K,-0.81%
7-Mar-18,1,0.9935,1.012,0.9935,21.27K,0.65%
8-Mar-18,0.9967,1,1.0024,0.9935,15.44K,-0.33%
9-Mar-18,0.995,0.9967,1.0043,0.9949,5.71K,-0.17%
10-Mar-18,1.01,0.995,1.016,0.9949,3.49K,1.51%
11-Mar-18,0.998,1.01,1.01,0.9949,2.05K,-1.19%
12-Mar-18,1.0024,0.998,1.018,0.995,9.13K,0.44%
13-Mar-18,0.995,1.0024,1.0024,0.9944,9.51K,-0.74%
14-Mar-18,0.9941,0.995,1.0001,0.994,9.06K,-0.09%
15-Mar-18,0.9934,0.9941,1.002,0.9934,9.48K,-0.07%
16-Mar-18,0.997,0.9934,0.997,0.9934,1.64K,0.36%
17-Mar-18,0.9944,0.997,0.997,0.9944,4.65K,-0.26%
18-Mar-18,0.9939,0.997,0.997,0.9939,4.53K,-0.05%
19-Mar-18,1.0044,0.9939,1.0045,0.9921,107.31K,1.06%
20-Mar-18,0.9922,1.0044,1.0044,0.9921,6.03K,-1.21%
21-Mar-18,0.9938,0.9922,1.0043,0.9921,13.42K,0.16%
22-Mar-18,0.9921,0.9938,1.0043,0.9921,2.85K,-0.17%
23-Mar-18,0.9933,0.9921,0.9956,0.9921,1.53K,0.12%
24-Mar-18,0.994,0.9933,1.0002,0.9921,1.62K,0.07%
25-Mar-18,1.0018,0.994,1.004,0.994,4.75K,0.78%
26-Mar-18,0.9985,1.0018,1.0043,0.994,0.78K,-0.33%
27-Mar-18,0.9951,0.9985,0.9985,0.994,3.51K,-0.34%
28-Mar-18,0.9941,0.9951,0.9985,0.9941,1.90K,-0.10%
29-Mar-18,0.994,0.9941,1.0043,0.994,6.54K,-0.01%
30-Mar-18,1.0018,0.994,1.0043,0.994,0.97K,0.78%
31-Mar-18,0.9978,0.994,0.9978,0.994,1.02K,-0.40%
1-Apr-18,1.0027,0.994,1.0027,0.994,0.11K,0.49%
2-Apr-18,1.0042,0.994,1.0042,0.994,0.52K,0.15%
3-Apr-18,0.9941,0.994,0.9998,0.994,0.21K,-1.01%
4-Apr-18,0.9986,0.9941,0.9986,0.9941,0.44K,0.45%
5-Apr-18,0.995,0.9986,0.9986,0.991,1.62K,-0.36%
6-Apr-18,1,0.995,1,0.995,1.89K,0.50%
7-Apr-18,1.0289,0.995,1.19,0.9919,36.28K,2.89%
8-Apr-18,1.0155,1.0289,1.0289,1.0116,6.89K,-1.30%
9-Apr-18,0.9951,1.0155,1.0155,0.994,14.05K,-2.01%
10-Apr-18,0.9961,0.9951,1.0059,0.9932,6.60K,0.10%
11-Apr-18,0.9919,0.9961,1.0051,0.9919,6.48K,-0.42%
12-Apr-18,1.0088,0.9919,1.0088,0.9919,13.25K,1.70%
13-Apr-18,1,1.0088,1.0642,0.9978,53.83K,-0.87%
14-Apr-18,0.9943,1,1.0112,0.9943,5.80K,-0.57%
15-Apr-18,0.9955,0.9943,1.0059,0.994,11.64K,0.12%
16-Apr-18,1.002,0.9955,1.0077,0.9955,14.86K,0.65%
