"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2022","111.4366","105.8617","113.6950","105.6456","4.27M","5.25%"
"Apr 01, 2022","105.8735","103.0169","107.9635","98.7077","3.92M","2.74%"
"Mar 31, 2022","103.0500","105.8639","108.7816","101.8678","3.76M","-2.66%"
"Mar 30, 2022","105.8639","109.0481","111.5182","103.9375","4.97M","-2.92%"
"Mar 29, 2022","109.0481","97.1944","109.8371","97.1868","8.52M","12.28%"
"Mar 28, 2022","97.1228","94.1738","101.5820","92.9204","5.92M","3.13%"
"Mar 27, 2022","94.1738","91.3871","94.5205","89.6695","1.87M","3.05%"
"Mar 26, 2022","91.3871","90.4069","91.9122","88.9285","2.00M","1.08%"
"Mar 25, 2022","90.4092","93.7461","94.8338","88.9717","3.45M","-3.58%"
"Mar 24, 2022","93.7650","94.8586","95.7436","91.7797","3.26M","-1.15%"
"Mar 23, 2022","94.8586","93.0414","96.6330","92.3562","2.90M","1.95%"
"Mar 22, 2022","93.0414","95.7600","96.4515","92.3032","3.30M","-2.84%"
"Mar 21, 2022","95.7658","90.6074","97.7437","90.3495","4.85M","5.69%"
"Mar 20, 2022","90.6074","92.1658","94.4473","89.9997","2.83M","-1.70%"
"Mar 19, 2022","92.1703","88.5300","93.5186","87.5300","3.84M","4.21%"
"Mar 18, 2022","88.4501","86.7801","88.6800","82.6300","360.87M","1.92%"
"Mar 17, 2022","86.7800","89.1500","90.3000","86.5400","251.28M","-2.66%"
"Mar 16, 2022","89.1500","88.5000","90.5900","86.1400","414.13M","0.73%"
"Mar 15, 2022","88.5000","94.8400","95.7399","88.0400","402.89M","-6.68%"
"Mar 14, 2022","94.8400","87.3400","94.9200","86.6500","476.91M","8.59%"
"Mar 13, 2022","87.3400","86.0400","92.4799","85.4600","329.12M","1.64%"
"Mar 12, 2022","85.9301","88.3201","92.4301","85.9200","293.69M","-2.71%"
"Mar 11, 2022","88.3201","101.1999","101.6200","88.0100","753.30M","-12.73%"
"Mar 10, 2022","101.1999","99.1600","104.4300","92.7999","995.73M","2.06%"
"Mar 09, 2022","99.1600","85.2800","104.4902","84.9100","1.03B","16.28%"
"Mar 08, 2022","85.2801","77.8799","86.9100","77.4100","479.24M","9.50%"
"Mar 07, 2022","77.8800","79.2500","83.7900","75.6500","486.83M","-1.73%"
"Mar 06, 2022","79.2500","87.5500","88.2100","78.5700","441.60M","-9.48%"
"Mar 05, 2022","87.5500","83.4400","88.5900","80.3400","451.84M","5.05%"
"Mar 04, 2022","83.3400","90.5210","93.3564","82.9499","647.60M","-7.93%"
"Mar 03, 2022","90.5171","92.2646","94.1740","86.8307","6.66M","-1.89%"
"Mar 02, 2022","92.2653","89.6229","96.4673","88.1646","9.43M","2.95%"
"Mar 01, 2022","89.6246","91.3168","94.5180","86.1340","9.66M","-1.85%"
"Feb 28, 2022","91.3168","72.5352","93.6487","70.5195","10.71M","25.89%"
"Feb 27, 2022","72.5352","78.0576","78.8565","71.2891","7.46M","-7.06%"
"Feb 26, 2022","78.0487","73.0607","79.5895","72.1881","7.14M","6.83%"
"Feb 25, 2022","73.0577","65.2065","73.6354","63.9123","10.72M","12.03%"
"Feb 24, 2022","65.2104","59.6012","65.8352","50.2982","19.16M","9.41%"
"Feb 23, 2022","59.6012","54.7252","64.5063","54.6644","9.51M","8.91%"
"Feb 22, 2022","54.7252","50.1284","55.9207","48.4516","7.94M","9.17%"
"Feb 21, 2022","50.1284","49.3079","53.8208","49.0310","6.68M","1.66%"
"Feb 20, 2022","49.3079","50.4595","50.6799","47.3237","3.49M","-2.28%"
"Feb 19, 2022","50.4595","50.5906","52.8393","50.0774","2.60M","-0.31%"
"Feb 18, 2022","50.6186","50.2805","51.8482","49.0604","3.95M","0.67%"
"Feb 17, 2022","50.2805","56.0053","57.0688","50.1865","3.30M","-10.22%"
"Feb 16, 2022","56.0053","56.8116","58.2695","55.1584","2.71M","-1.42%"
"Feb 15, 2022","56.8116","53.8309","56.9835","53.7899","3.24M","5.54%"
"Feb 14, 2022","53.8309","51.6582","54.5971","51.4386","3.37M","4.21%"
"Feb 13, 2022","51.6582","52.1417","53.6927","51.0309","2.51M","-0.76%"
"Feb 12, 2022","52.0558","50.3493","53.6568","49.4308","3.71M","3.39%"
"Feb 11, 2022","50.3493","52.1823","54.7890","49.8774","4.81M","-3.66%"
"Feb 10, 2022","52.2646","57.5690","57.5690","51.9338","5.81M","-9.21%"
"Feb 09, 2022","57.5690","57.1690","57.9011","54.4241","4.20M","0.72%"
"Feb 08, 2022","57.1596","59.4106","59.8121","54.8718","5.87M","-3.79%"
"Feb 07, 2022","59.4099","56.0223","60.5902","54.3807","6.79M","6.05%"
"Feb 06, 2022","56.0211","55.3621","57.1711","53.1384","4.03M","1.05%"
"Feb 05, 2022","55.4382","54.0090","57.9943","53.4684","6.26M","2.65%"
"Feb 04, 2022","54.0090","51.1012","54.0164","49.1456","7.93M","5.71%"
"Feb 03, 2022","51.0933","47.5060","51.4011","46.5847","6.13M","7.55%"
"Feb 02, 2022","47.5060","52.1903","53.4083","47.2996","6.10M","-8.79%"
"Feb 01, 2022","52.0834","52.1010","54.0705","50.7238","6.48M","-0.03%"
"Jan 31, 2022","52.0995","46.3875","52.5444","43.4980","10.08M","12.31%"
"Jan 30, 2022","46.3875","50.8404","51.2453","45.5706","5.76M","-8.76%"
"Jan 29, 2022","50.8404","50.3921","53.5973","50.0817","7.74M","0.62%"
"Jan 28, 2022","50.5284","54.0872","55.3666","47.5885","13.61M","-6.58%"
