Date,Price,Open,High,Low,Vol.,Change %
6-Dec-18,1.0028,1.016,1.0202,0.9964,285.49K,-1.30%
7-Dec-18,1.0052,1.0036,1.0185,0.9977,388.72K,0.24%
8-Dec-18,1.0053,1.0052,1.0113,1.004,218.42K,0.01%
9-Dec-18,1.0073,1.0053,1.0119,1.0045,140.32K,0.20%
10-Dec-18,1.0079,1.0073,1.0146,1.0066,154.41K,0.06%
11-Dec-18,1.0125,1.0079,1.014,1.0078,210.87K,0.46%
12-Dec-18,1.0088,1.0113,1.0197,1.0028,308.79K,-0.36%
13-Dec-18,1.0139,1.0088,1.0152,1.0044,157.29K,0.50%
14-Dec-18,1.0129,1.0139,1.0157,1.0083,266.77K,-0.10%
15-Dec-18,1.0156,1.0129,1.0183,1.0107,65.11K,0.27%
16-Dec-18,1.0142,1.0156,1.0193,1.0119,109.09K,-0.14%
17-Dec-18,1.0109,1.0142,1.0228,1.003,128.45K,-0.32%
18-Dec-18,1.0093,1.0109,1.026,1.004,232.39K,-0.16%
19-Dec-18,0.9949,1.0093,1.0093,0.9918,201.05K,-1.42%
20-Dec-18,0.9929,0.9949,0.996,0.9598,245.76K,-0.20%
21-Dec-18,0.9833,0.9929,1,0.9572,157.43K,-0.96%
22-Dec-18,0.9568,0.9833,0.9859,0.9548,67.16K,-2.69%
23-Dec-18,1.0045,0.9568,1.0058,0.951,93.58K,4.98%
24-Dec-18,1.0075,1.0045,1.0274,1.0035,271.33K,0.30%
25-Dec-18,0.9953,1.0075,1.0077,0.9909,95.37K,-1.21%
26-Dec-18,1.0112,0.9953,1.0157,0.993,79.46K,1.59%
27-Dec-18,0.9824,1.0112,1.0178,0.9784,77.47K,-2.85%
28-Dec-18,0.9864,0.9824,1.0313,0.9784,151.11K,0.41%
29-Dec-18,1.0248,0.9855,1.028,0.9822,121.50K,3.89%
30-Dec-18,1.022,1.0248,1.0277,0.9981,122.54K,-0.28%
31-Dec-18,1.0161,1.022,1.0364,1.0109,136.29K,-0.58%
1-Jan-19,1.0094,1.0163,1.0196,1.0066,143.59K,-0.66%
2-Jan-19,1.0704,1.0094,1.0883,1.0082,87.21K,6.04%
3-Jan-19,0.8521,1.0704,1.0786,0.829,70.47K,-20.39%
4-Jan-19,0.9652,0.8521,0.9686,0.766,114.57K,13.28%
5-Jan-19,0.9702,0.9652,0.9774,0.965,127.84K,0.51%
