Date,Price,Open,High,Low,Vol.,Change %
14-Apr-17,0.9899,0.9939,0.996,0.9689,71.65K,-0.40%
15-Apr-17,0.9896,0.9899,0.9899,0.9676,14.92K,-0.03%
16-Apr-17,0.9515,0.9896,0.9896,0.9515,12.41K,-3.85%
17-Apr-17,0.9392,0.9515,0.9698,0.9211,38.75K,-1.29%
18-Apr-17,0.945,0.9392,0.9628,0.9207,39.25K,0.62%
19-Apr-17,0.946,0.945,0.9549,0.9372,28.87K,0.11%
20-Apr-17,0.949,0.946,0.9549,0.92,76.29K,0.32%
21-Apr-17,0.9363,0.949,0.95,0.9,61.12K,-1.34%
22-Apr-17,0.915,0.9363,0.95,0.915,118.03K,-2.27%
23-Apr-17,0.915,0.915,0.94,0.901,76.41K,0.00%
24-Apr-17,0.915,0.915,0.9286,0.901,79.09K,0.00%
25-Apr-17,0.904,0.915,0.925,0.89,100.97K,-1.20%
26-Apr-17,0.9201,0.904,0.9367,0.903,52.90K,1.78%
27-Apr-17,0.92,0.9201,0.937,0.9199,47.57K,-0.01%
28-Apr-17,0.94,0.92,0.9649,0.9199,75.78K,2.17%
29-Apr-17,0.931,0.94,0.9524,0.931,25.58K,-0.96%
30-Apr-17,0.935,0.931,0.9529,0.912,74.27K,0.43%
1-May-17,0.9156,0.935,0.94,0.9151,34.19K,-2.07%
2-May-17,0.9283,0.9156,0.94,0.9121,57.01K,1.39%
3-May-17,0.9347,0.9283,0.948,0.9212,76.23K,0.69%
4-May-17,0.959,0.9347,0.9639,0.9155,198.89K,2.60%
5-May-17,0.979,0.959,0.98,0.9306,196.71K,2.09%
6-May-17,0.983,0.979,0.9929,0.955,56.41K,0.41%
7-May-17,0.9281,0.983,0.983,0.928,59.90K,-5.58%
8-May-17,0.9711,0.9281,0.972,0.9281,69.67K,4.63%
9-May-17,0.97,0.9711,0.978,0.9527,462.52K,-0.11%
10-May-17,0.994,0.97,0.9946,0.965,253.82K,2.47%
11-May-17,0.9725,0.994,0.9986,0.9475,309.21K,-2.16%
12-May-17,0.9811,0.9725,0.9928,0.9601,34.44K,0.88%
13-May-17,0.9778,0.9811,0.9857,0.956,29.36K,-0.34%
14-May-17,0.98,0.9778,0.9886,0.9615,82.51K,0.22%
15-May-17,0.9773,0.98,0.992,0.9722,88.55K,-0.28%
16-May-17,0.9897,0.9773,0.9898,0.97,53.56K,1.27%
17-May-17,0.9766,0.9897,0.9897,0.9702,23.83K,-1.32%
18-May-17,0.9799,0.9766,0.9868,0.9703,24.74K,0.34%
19-May-17,0.9983,0.9799,0.9983,0.9706,234.10K,1.88%
20-May-17,0.99,0.9983,0.999,0.9801,200.80K,-0.83%
